"","Name","Address.x","origname","Agency.x","Address.y","City","State","Zip","Site ID","Site Name","Agency21","Agency.y","distance"
"93","International Falls Truck Station","2407 Highway 332 South International Falls, MN 56649","R1B: International Falls Truck Station - 2407 Highway 332 South International Falls, MN 56649","DOT","2406 Highway 332 South, Intl. Falls, MN 56649","Intl. Falls","MN","56649","11806","SITE, D1B, TRUCK STATION, INTERNATIONAL FALLS","DOT","DOT",0.118070818070818
"94","Littlefork Truck Station","4892 Country Road 22 Littlefork, MN 56653","R1B: Littlefork Truck Station - 4892 Country Road 22 Littlefork, MN 56653","DOT","4892 County Road 22, Littlefork, MN 56653","Littlefork","MN","56653","11808","SITE, D1B, TRUCK STATION, LITTLEFORK","DOT","DOT",0.0620934959349595
"95","Littlefork Truck Station","4892 Country Road 22 Littlefork, MN 56653","R1B: Littlefork Truck Station - 4892 Country Road 22 Littlefork, MN 56653","DOT","29656 County Road 12, Wilson, MN 55987","Wilson","MN","55987","11977","SITE, D6A, TRUCK STATION, WILSON","DOT","DOT",0.253522242824768
"96","Virginia Maintenance Headquarters","101 N Hoover Road Virginia, MN 55792","R1B: Virginia Maintenance Headquarters - 101 N Hoover Road Virginia, MN 55792","DOT","101 N Hoover Road, Virginia, MN 55792","Virginia","MN","55792","11788","SITE, D1B, HEADQUARTERS, VIRGINIA","DOT","DOT",0.0553053053053052
"97","Ada Truck Station","508 Fourth Street East Ada, MN 56510","R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510","DOT","505 East 4th Street, Ada, MN 56510","Ada","MN","56510","11824","SITE, D2B, TRUCK STATION, ADA","DOT","DOT",0.167105910464544
"98","Ada Truck Station","508 Fourth Street East Ada, MN 56510","R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510","DOT","1500 State Street South, Waseca, MN 56093","Waseca","MN","56093","12023","SITE, D7E, TRUCK STATION, WASECA","DOT","DOT",0.257146083365596
"99","Ada Truck Station","508 Fourth Street East Ada, MN 56510","R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510","DOT","1500 State Street South, Waseca, MN 56093","Waseca","MN","56093","12024","SITE, D7E, TRUCK STATION, WASECA OLD","DOT","DOT",0.257146083365596
"100","Ada Truck Station","508 Fourth Street East Ada, MN 56510","R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510","DOT","355 8th Street East, St. Paul, MN 55101","St. Paul","MN","55101","15534","St. Paul - 8th Street","Department of Human Services","DHS",0.257376882376882
"101","Bagley Truck Station","20602 US 2 Bagley, MN 56621","R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621","DOT","36452 State 92, Bagley, MN 56621","Bagley","MN","56621","10825","Office & 2 Cold Storage","Department of Natural Resources","DNR",0.237335614600107
"102","Baudette Truck Station","504 Main Street East Baudette, MN 56623","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","DOT","504 E Main, Baudette, MN 56623","Baudette","MN","56623","11826","SITE, D2A, TRUCK STATION, BAUDETTE","DOT","DOT",0.211523725316829
"103","Baudette Truck Station","504 Main Street East Baudette, MN 56623","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","DOT","204 Main St E, BAUDETTE, MN 56623","BAUDETTE","MN","56623","10629","Office & Garage","Department of Natural Resources","DNR",0.239947552447553
"104","Baudette Truck Station","504 Main Street East Baudette, MN 56623","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","DOT","204 Main St E, BAUDETTE, MN 56623","BAUDETTE","MN","56623","10630","Shop R2900104520","Department of Natural Resources","DNR",0.239947552447553
"105","Baudette Truck Station","504 Main Street East Baudette, MN 56623","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","DOT","206 Main St E, Baudette, MN 56623","Baudette","MN","56623","15532","Fire Truck Storage R2900109180","Department of Natural Resources","DNR",0.162781662781663
"106","Baudette Truck Station","504 Main Street East Baudette, MN 56623","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","DOT","206 Main St E, BAUDETTE, MN 56623","BAUDETTE","MN","56623","10633","Office R2900103880","Department of Natural Resources","DNR",0.25950136819702
"107","Baudette Truck Station","504 Main Street East Baudette, MN 56623","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","DOT","206 Main St E, BAUDETTE, MN 56623","BAUDETTE","MN","56623","10631","Oil House R2900103840","Department of Natural Resources","DNR",0.25950136819702
"108","Baudette Truck Station","504 Main Street East Baudette, MN 56623","R2: Baudette Truck Station - 504 Main Street East Baudette, MN 56623","DOT","202 Main St N, Karlstad, MN 56732","Karlstad","MN","56732","12986","Wildlife Office & Cold Stor at Twin Lakes","Department of Natural Resources","DNR",0.239510489510489
